Title,IMDb Rating
Loki,8.3
The Mandalorian,8.8
WandaVision,8.0
The Falcon and the Winter Soldier,7.3
What If...?,7.6
The imagineering Story,9.0
Star Wars: The Clone Wars,8.3
The Mysterious Benedict Society,7.7
Big Shot,7.5
Prop Culture,8.1
