Title, IMDb Rating
Squid Game,8.2
Bridgerton,7.3
Money heist,8.2
Stranger Things,8.7
Lupin,7.5
The Witcher,8.2
Tiger King,7.5
The Queen's Gambit,8.6
Sweet Tooth,7.9
Emily in Paris,7.0
